Route_start|Route_end|Reference_time|Interval(days)|Area_size|Max_samples|Duration(s)|Number_of_records
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-08-01 00:00:00|30|0.8|1000|0.709302186966|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-10-15 00:00:00|30|0.8|1000|0.753484964371|1000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-12-01 00:00:00|30|0.8|1000|0.776768922806|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|0.839233875275|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.8|1000|0.858122110367|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.8|1000|0.788138866425|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.8|1000|0.704936027527|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.8|1000|0.868368864059|1000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.8|1000|0.766935110092|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|0.720553874969|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-04-01 00:00:00|30|0.8|1000|0.642308950424|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.8|1000|0.678157091141|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.8|1000|0.698981046677|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.8|1000|0.673553943634|1000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.8|1000|0.72389793396|1000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|0.768625974655|1000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-04-01 00:00:00|30|0.8|1000|0.69344496727|1000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.8|1000|0.870018959045|1000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.8|1000|0.802095890045|1000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.8|1000|0.8937458992|1000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.8|1000|0.768602132797|1000
