Route_start|Route_end|Reference_time|Interval(days)|Area_size|Duration(s)|Number_of_records
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-06-15 00:00:00|30|0.8|53.8530240059|6762
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-08-01 00:00:00|30|0.8|26.4052591324|6800
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-10-15 00:00:00|30|0.8|36.4080939293|6856
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-12-01 00:00:00|30|0.8|1835.03538108|6695
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-02-15 00:00:00|30|0.8|34.8203940392|6200
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-04-01 00:00:00|30|0.8|3639.99940395|6120
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.8|5204.75691414|5840
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.8|38.752409935|5451
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.8|3462.37138796|6004
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.8|38.0418419838|5006
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-02-15 00:00:00|30|0.8|34.2764348984|34959
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-04-01 00:00:00|30|0.8|44.7358720303|37384
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-06-15 00:00:00|30|0.8|65.9972469807|33662
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-08-01 00:00:00|30|0.8|39.0087659359|35566
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-10-15 00:00:00|30|0.8|49.9274799824|38616
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-12-01 00:00:00|30|0.8|50.2220339775|36025
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-02-15 00:00:00|30|0.8|29.1284720898|30774
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-04-01 00:00:00|30|0.8|41.6558148861|33235
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-06-15 00:00:00|30|0.8|62.5693018436|30856
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-08-01 00:00:00|30|0.8|37.9272789955|34313
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-10-15 00:00:00|30|0.8|49.0396149158|34897
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-12-01 00:00:00|30|0.8|47.1551949978|33192
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.8|24.5955958366|17139
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.8|31.5121059418|17807
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.8|54.2676289082|15143
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.8|28.0387132168|14311
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.8|39.3840970993|16712
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.8|39.5051591396|15608
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-02-15 00:00:00|30|0.8|26.6173188686|19716
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-04-01 00:00:00|30|0.8|36.0123178959|19357
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-06-15 00:00:00|30|0.8|58.9798557758|17060
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-08-01 00:00:00|30|0.8|30.7294669151|16096
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-10-15 00:00:00|30|0.8|42.5937540531|18505
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-12-01 00:00:00|30|0.8|40.6314640045|17572
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-02-15 00:00:00|30|0.8|19.9677979946|2226
